Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787571
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58821787572
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58822703723
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58822760664
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58822770600
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58822770601
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58822770602
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58822770603
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58822770604
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58822770605
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58822770606
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58822770607
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58822770608
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58822770609
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58823705031
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58823755952
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823774938
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823788868
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823788869
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823788870
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823788871
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823788872
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823797738
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823797739
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823797740
false;true;true;true;true;false;true;false;false;true;true;false;true;false;58823797741
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823797742
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823797743
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823797744
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823797745
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58823797746
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824713681
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824754258
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824754259
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824785178
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824785179
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824785180
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824785181
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824795989
false;true;true;true;true;false;true;false;false;true;true;false;true;true;58824795990
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58825800800
false;true;false;false;true;false;true;false;false;true;true;false;true;true;58825818789
false;true;false;false;true;false;true;false;false;true;true;false;true;false;58825924724
false;true;false;false;true;false;true;false;false;true;true;false;false;false;58825989683
false;true;false;false;true;false;true;false;false;true;true;false;false;false;58826008671
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58826072639
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58826134599
false;false;false;false;true;false;true;false;false;true;false;false;false;false;58826197560
true;false;false;false;true;false;true;false;false;true;false;false;false;false;58826343469
true;false;false;false;true;false;true;false;false;true;false;false;false;true;58826567330
false;false;false;false;true;false;true;false;false;true;false;true;false;true;58828582644
true;false;false;false;true;false;true;false;false;true;false;false;false;true;58828815138
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58828831129
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58828865107
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58828993032
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829026015
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829057995
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829087574
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829190080
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829220728
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829269699
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829363292
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829394911
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829426892
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829506844
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829668460
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829910313
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58829923305
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58830147674
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58830213633
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58830315570
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58830428499
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58830524440
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58830560419
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58830599394
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58830900764
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58830917753
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58830939740
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58831067214
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58831139018
